//"G", f1 = 1575.42e6, f2 = 1227.60e6, f5 = 1176.45e6
//"R",  f1 = 1602.00e6, f2 = 1246.00e6, f5 = 0   
//"E", f1 = 1575.42e6, f2 = 1278.75e6, f5 = 1176.45e6 
//"C", f1 = 1575.42e6, f2 = 1176.45e6, f5 = 1207.14e6 
Epoch, Sat, P1, L1, P2, L2, P5, L5
1, G01, 20123456.789, 123456.789, 20123457.890, 123457.890, 20123458.901, 123458.901
1, G02, 19876543.210, 987654.321, 19876544.321, 987655.432, 19876545.432, 987656.543
1, R01, 0.0, 0.0, 18543210.987, 854321.098, 18543211.098, 854322.109
1, C01, 21546852.369, 154685.236, 21546853.470, 154686.347, 0.0, 0.0
1, E01, 20458763.258, 458763.258, 20458764.369, 458764.369, 20458765.470, 458765.470
2, G01, 20123457.012, 123457.012, 20123458.123, 123458.123, 20123459.234, 123459.234
2, G02, 19876544.543, 987655.543, 19876545.654, 987656.654, 19876546.765, 987657.765
2, R01, 0.0, 0.0, 18543212.210, 854323.210, 18543213.321, 854324.321
2, C01, 21546854.581, 154687.458, 21546855.692, 154688.569, 0.0, 0.0
2, E01, 20458766.581, 458766.581, 20458767.692, 458767.692, 20458768.803, 458768.803
3, G01, 20123458.235, 123458.235, 20123459.346, 123459.346, 20123460.457, 123460.457
3, G02, 19876545.876, 987656.876, 19876546.987, 987657.987, 19876548.098, 987659.098
3, R01, 0.0, 0.0, 18543213.433, 854324.432, 18543214.544, 854325.543
3, C01, 21546856.793, 154689.679, 21546857.904, 154690.790, 0.0, 0.0
3, E01, 20458769.914, 458769.914, 20458771.025, 458771.025, 20458772.136, 458772.136
4, G01, 20123459.458, 123459.458, 20123460.569, 123460.569, 20123461.680, 123461.680  
4, G02, 19876547.209, 987658.209, 19876548.320, 987659.320, 19876549.431, 987660.431
4, R01, 0.0, 0.0, 18543214.656, 854325.655, 18543215.767, 854326.766
4, C01, 21546859.005, 154691.900, 21546860.116, 154693.011, 0.0, 0.0
4, E01, 20458773.247, 458773.247, 20458774.358, 458774.358, 20458775.469, 458775.469
5, G01, 20123460.681, 123458.681, 20123461.792, 123461.792, 20123462.903, 123462.903
5, G02, 19876548.542, 987659.542, 19876549.653, 987660.653, 19876550.764, 987661.764
5, R01, 0.0, 0.0, 18543215.879, 854326.878, 18543216.990, 854327.989
5, C01, 21546861.217, 154694.122, 21546862.328, 154695.233, 0.0, 0.0
5, E01, 20458776.580, 458776.580, 20458777.691, 458777.691, 20458778.802, 458778.802
