频率f1(Mhz),频率f2(Mhz),频率f3(Mhz),光速c(m/s)
1575.42,1227.60,1176.45,299792458

历元号,卫星名,P1,P2,P3,Φ1,Φ2,Φ3
1,G01,20000000.18,20000000.04,20000000.1,0.027409,0.024676,-0.004773
1,G02,20000000.12,19999999.98,19999999.89,0.015545,0.001968,0.017224
1,G03,20000000.03,20000000.07,20000000.02,-0.015285,0.015662,0.003131
1,G04,19999999.92,19999999.98,20000000.06,-0.010106,-0.009651,-0.025512
1,G05,19999999.88,20000000.08,20000000.02,0.025844,0.021135,-0.016008
1,G06,20000000.03,19999999.82,19999999.93,0.01991,0.003489,-0.010181
1,G07,20000000,20000000.02,19999999.9,0.001501,5.017003,0.01798
1,G08,19999999.84,20000000.1,20000000.05,0.009226,-0.010882,8.988052
1,G09,19999999.89,20000000,19999999.87,0.011283,0.020449,0.01476
1,G10,20000000,20000000.15,20000000,0.010373,0.004194,0.001487
2,G01,20000000.13,19999999.95,20000000.25,0.020808,0.016843,0.015791
2,G02,20000000.11,20000000.09,20000000.06,0.010018,6.002098,0.028724
2,G03,19999999.93,20000000.07,19999999.96,0.01732,0.011636,0.015889
2,G04,19999999.98,20000000.11,20000000,0.023028,0.014499,0.003541
2,G05,20000000.11,19999999.95,19999999.93,-0.002141,0.007591,0.007196
2,G06,19999999.93,20000000.19,20000000.11,0.023461,0.01437,0.010205
2,G07,19999999.92,19999999.98,19999999.98,-0.007482,2.025541,-0.022674
2,G08,20000000.19,20000000.1,20000000.14,-0.001528,0.026556,0.013807
2,G09,19999999.92,19999999.94,20000000.13,0.016791,0.025726,0.000742
2,G10,19999999.79,19999999.91,19999999.98,2.024591,0.012759,0.024702
3,G01,20000000.15,19999999.98,20000000.03,0.006459,-0.00753,0.021536
3,G02,19999999.92,19999999.85,20000000.05,9.018451,0.025244,-0.005404
3,G03,19999999.88,20000000.06,20000000.05,0.00986,0.026185,0.026566
3,G04,20000000.03,19999999.95,20000000.02,0.018914,-0.013779,0.005434
3,G05,20000000.01,19999999.99,19999999.96,0.020898,0.00321,0.00077
3,G06,20000000.02,20000000.13,19999999.91,-0.001888,0.039816,0.023004
3,G07,19999999.94,19999999.85,20000000.17,0.005299,0.030923,0.005612
3,G08,20000000.02,19999999.96,20000000.02,-0.000458,0.025425,0.023221
3,G09,19999999.93,20000000.08,19999999.77,0.018901,0.025853,0.004025
3,G10,20000000,20000000.08,20000000.07,0.007925,2.018398,9.99933
4,G01,19999999.97,20000000,20000000.15,0.03535,0.029664,0.021493
4,G02,19999999.97,20000000.08,20000000.09,0.01845,0.030141,0.029222
4,G03,20000000.12,19999999.99,19999999.95,8.015552,6.027771,0.013629
4,G04,19999999.99,19999999.87,20000000.03,0.034514,0.022221,0.018301
4,G05,19999999.82,19999999.95,19999999.95,0.026204,0.030985,0.020038
4,G06,19999999.88,20000000.1,19999999.97,0.013194,0.027876,0.004353
4,G07,19999999.93,20000000.02,20000000.05,0.03048,0.026843,0.037427
4,G08,20000000.02,19999999.86,20000000.04,0.019463,0.019185,0.017722
4,G09,19999999.99,19999999.97,19999999.87,0.019878,0.023039,0.011568
4,G10,20000000.07,19999999.89,19999999.99,3.020193,0.042496,0.017858
5,G01,19999999.97,20000000.02,20000000.12,0.037024,0.026127,0.021977
5,G02,20000000,20000000,19999999.91,0.027874,0.033604,10.029081
5,G03,19999999.93,19999999.91,19999999.96,0.02682,0.027799,0.02525
5,G04,19999999.98,19999999.98,20000000.02,0.014698,0.020703,8.999414
5,G05,20000000.08,20000000.1,19999999.92,0.024146,0.0221,0.020292
5,G06,20000000.05,19999999.85,19999999.96,0.015977,0.015297,0.038307
5,G07,19999999.95,20000000.03,20000000.16,0.033184,0.034021,8.026181
5,G08,20000000.1,19999999.98,19999999.83,0.019651,2.032007,0.029982
5,G09,20000000.03,20000000.07,19999999.83,0.02235,0.016772,0.028275
5,G10,19999999.95,19999999.97,20000000.02,8.009906,1.033011,0.028758
6,G01,20000000.02,20000000,19999999.99,0.028093,0.040486,0.020076
6,G02,19999999.88,19999999.81,19999999.99,0.025161,0.028202,0.042139
6,G03,20000000.01,19999999.87,20000000.14,0.033869,0.022675,0.035038
6,G04,20000000.04,19999999.95,19999999.99,0.035671,0.046678,0.032716
6,G05,20000000.08,19999999.98,20000000,0.034938,0.042433,0.014294
6,G06,19999999.73,20000000.19,19999999.97,0.017021,0.041961,6.021346
6,G07,20000000.06,19999999.75,19999999.89,0.02499,0.036148,0.026089
6,G08,19999999.83,19999999.87,20000000.06,0.038956,0.034681,0.034048
6,G09,19999999.92,20000000.05,20000000,0.046735,0.033907,0.022394
6,G10,20000000.15,20000000.05,20000000.06,0.016585,0.040769,0.031484
7,G01,19999999.91,20000000.04,19999999.95,0.023194,0.041718,0.039283
7,G02,19999999.99,19999999.87,20000000.15,5.051593,0.042001,0.050058
7,G03,19999999.99,20000000.18,20000000,0.053701,0.038197,0.039287
7,G04,19999999.96,20000000.04,19999999.87,0.051581,0.040818,3.028198
7,G05,19999999.97,19999999.83,19999999.85,0.029289,0.022321,0.035609
7,G06,19999999.77,19999999.94,20000000.12,0.023482,0.043552,0.02868
7,G07,19999999.97,19999999.98,19999999.98,0.033901,0.044135,0.022914
7,G08,19999999.85,20000000.08,19999999.94,0.0297,0.056876,2.029117
7,G09,20000000,20000000.02,20000000.01,0.041505,0.035813,0.035891
7,G10,19999999.99,19999999.89,19999999.87,0.027253,0.035973,0.031205
8,G01,19999999.96,19999999.93,19999999.96,0.032593,0.04125,0.038672
8,G02,20000000.07,20000000.23,20000000.16,0.046111,0.039226,0.023789
8,G03,19999999.94,19999999.84,19999999.83,0.033844,0.038454,0.037512
