id,x,y
0,3836.611,2864.91
1,3809.044,2928.739
2,3816.15,2863.859
3,3767.464,2857.623
4,3828.621,2919.208
5,3795.069,2870.261
6,3763.38,2879.588
7,3802.975,2860.315
8,3806.692,2868.275
9,3782.333,2911.076
10,3831.095,2891.505
11,3770.877,2909.949
12,3775.197,2867.22
13,3833.699,2898.169
14,3810.02,2862.389
15,3787.284,2877.255
16,3761.374,2919.388
17,3812.728,2921.92
18,3762.143,2870.665
19,3768.217,2926.619
20,3771.801,2927.782
21,3758.939,2924.371
22,3776.558,2870.277
23,3781.374,2923.289
24,3822.268,2883.528
25,3833.192,2896.344
26,3808.708,2909.381
27,3777.38,2914.398
28,3779.457,2861.353
29,3804.925,2868.777
30,3784.996,2925.224
31,3802.164,2859.162
32,3817.078,2868.488
33,3776.98,2882.564
34,3766.332,2880.622
35,3812.875,2893.578
36,3832.87,2879.444
37,3836.489,2901.138
38,3823.514,2919.521
39,3787.856,2899.933
40,3827.541,2869.277
41,3780.989,2919.29
42,3808.157,2916.051
43,3819.344,2925.079
44,3824.384,2870.724
45,3811.541,2889.872
46,3804.879,2893.112
47,3784.191,2910.552
48,3806.963,2881.136
49,3817.409,2916.659
50,3772.615,2911.943
51,3795.452,2877.691
52,3758.457,2896.919
53,3832.141,2887.042
54,3827.777,2868.14
55,3763.984,2925.255
56,3799.97,2875.119
57,3834.747,2891.229
58,3807.308,2888.295
59,3767.995,2888.85
60,3775.848,2884.62
61,3798.269,2925.797
62,3789.675,2926.17
63,3804.602,2859.214
64,3823.183,2887.186
65,3810.597,2875.769
66,3797.225,2914.76
67,3814.607,2859.204
68,3793.054,2881.585
69,3833.387,2916.953
70,3830.559,2898.622
71,3830.115,2886.79
72,3776.996,2923.718
